"station_codes","station_names","lat","long"
"317EST","Estrella River @ Airport Rd","35.717258","-120.6392212"
"309AXX","Salinas Reclamation Canal Storm Drain @ Airport Rd","36.661926","-121.6210403"
"309LOR","San Lorenzo Creek @ Bitterwater Rd east of King City","36.267315","-121.068306"
"309LOK","San Lorenzo Creek @ First St in King City","36.208633","-121.1175766"
"309TOP","Topo Creek @ Metz Rd","36.353851","-121.2078934"
"309NAF","Nacimiento River above Ponderosa campground","36.014015","-121.4120407"
"309SAP","Salinas River at High Mountain Lookout Road","35.294147","-120.388443"
"309ANT","San Antonio River at Interlake Road Bridge","35.89653","-121.0888672"
"315SJH","San Jose Creek @ Hollister Road","34.435734","-119.8191986"
"315CAU","Carpinteria Creek at Highway 192","34.401279","-119.4862289"
"315MTC","Montecito Creek at Jamison Lane","34.422962","-119.6336517"
"315YSI","San Ysidro Creek @ Jamison Lane","34.421192","-119.6221619"
"310SCN","Stenner Creek at Nipomo Street","35.280464","-120.6669159"
"310AGB","Arroyo Grande at Bittle Park","35.185097","-120.4986649"
"310AGF","Arroyo Grande at Fair Oaks Bridge","35.112606","-120.5862656"
"310AGS","Arroyo Grande Creek @ Strother Park","35.127777","-120.5564804"
"307CMN","Carmel River @ Nason Rd Community Park","36.399208","-121.6604691"
"307CMU","Carmel River at Esquiline Road","36.474358","-121.7275162"
"308GAR","Garrapata Creek at Private Property access (above Highway 1)","36.415527","-121.9104004"
"308LIM","Limekiln Creek @ Limekiln State Park","36.009251","-121.5175171"
"308MIL","Mill Creek @ Mill Creek Picnic Area","35.982693","-121.4901962"
"310PCO","Pico Creek @ Hwy 1","35.616577","-121.1474228"
"308SJC","San Jose Creek at Private Road Access (north of Point Lobos)","36.51973","-121.9207611"
"310SLC","San Luis Creek at Cuesta Park","35.294193","-120.6414185"
"310SLV","San Luis Obispo Ck at Los Osos Valley Road","35.243122","-120.6801529"
"310SLM","San Luis Obispo Creek @ Mission Plaza","35.279846","-120.6630402"
"310SRU","Santa Rosa Creek at Ferrassi Road","35.568001","-121.0640411"
"307TUL","Tularcitos Creek @ Carmel Valley Rd","36.446537","-121.6815338"
"307CMD","Carmel River @ Schulte Rd","36.52552","-121.8305664"
"310CAY","Cayucos Creek @ Cayucos Creek Rd","35.453442","-120.9060745"
"310SCP","San Carpoforo Creek @ Hwy 1","35.764523","-121.318634"
"310TCC","Toro Creek at Toro Creek Canyon Road Bridge","35.416595","-120.8684921"
"310TOR","Toro Creek upstream Hwy 1","35.412605","-120.8713837"
"310VIA","Villa Creek upstream Hwy 1","35.468491","-120.9756241"
"308LSU","Little Sur River @ Old Coast Rd","36.330406","-121.861557"
"310BER","Los Berros Creek @ Valley Rd","35.103569","-120.5804367"
"310MOR","Morro Creek @ Lila Kaiser Park","35.376549","-120.8587646"
"312CCC","Cuyama River below Cottonwood Canyon","35.04076","-119.885704"
"312GVT","Orcutt Creek at Brown Road","34.933949","-120.557869"
"312CUT","Cuyama River below Twitchell @ White Rock Lane","34.905514","-120.302681"
"312HUA","Huasna River at School Road","35.086658","-120.3681641"
"312SBC","Santa Maria River at Bull Canyon Road","34.971127","-120.40168"
"312SIS","Sisquoc River At Santa Maria Mesa Road","34.893703","-120.3051758"
"311SLN","Soda Lake North Tributary at Seven Mile Road","35.268372","-119.9268723"
"311SLE","Soda Lake northeast culvert @ Seven Mile Rd","35.280434","-119.9089508"
"309SALUBD","Salinas River at Blaco Road (upstream of Blanco Dam)","36.67815","-121.7457962"
"309SALDBD","Salinas River downstream of Blaco Drain (100 feet above inflatable dam)","36.74884","-121.709404"
"309SALDDM","Salinas River downstream of Blanco Drain (100 feet below the inflatable dam)","36.710457","-121.7504959"
"315FRCMVU","Franklin Creek 300 feet above Meadow View Road","34.407288","-119.5173645"
"315FRCMVD","Franklin Creek 300 feet below Meadow View Road","34.406395","-119.5176392"
"305CCUSGS","Clear Creek at USGS gauge and Oak Flat Camp","36.360828","-120.7604904"
